Date,Open,High,Low,Close,Adj Close,Volume
2020-08-13,59400.000000,59600.000000,58000.000000,58700.000000,55888.128906,22089460
2020-08-14,58000.000000,58400.000000,57700.000000,58000.000000,55221.660156,15672548
2020-08-18,58900.000000,59900.000000,58000.000000,58400.000000,55602.492188,25307825
2020-08-19,59000.000000,59200.000000,57800.000000,57800.000000,55031.238281,16930719
2020-08-20,57600.000000,57600.000000,55300.000000,55400.000000,52746.203125,30386029
2020-08-21,56200.000000,56900.000000,55800.000000,55900.000000,53222.253906,21142288
2020-08-24,55800.000000,56600.000000,55400.000000,56100.000000,53412.675781,15055896
2020-08-25,56400.000000,56800.000000,56100.000000,56400.000000,53698.300781,14021705
2020-08-26,56400.000000,56500.000000,55700.000000,56400.000000,53698.300781,17651593
2020-08-27,56300.000000,56300.000000,55600.000000,55600.000000,52936.625000,16196568
2020-08-28,56100.000000,56300.000000,55400.000000,55400.000000,52746.203125,14619888
2020-08-31,56000.000000,56100.000000,54000.000000,54000.000000,51413.269531,32671367
2020-09-01,54100.000000,54800.000000,54100.000000,54200.000000,51603.687500,19363117
2020-09-02,54600.000000,55100.000000,54100.000000,54400.000000,51794.109375,16905723
2020-09-03,55600.000000,56700.000000,55500.000000,56400.000000,53698.300781,28384920
2020-09-04,55200.000000,55800.000000,55100.000000,55600.000000,52936.625000,22139109
2020-09-07,56100.000000,57300.000000,55800.000000,56500.000000,53793.507813,18685880
2020-09-08,57400.000000,58700.000000,57200.000000,58700.000000,55888.128906,31517520
2020-09-09,58200.000000,59300.000000,57800.000000,58400.000000,55602.492188,30597399
2020-09-10,59900.000000,60000.000000,59100.000000,59200.000000,56364.175781,29923293
2020-09-11,59300.000000,59400.000000,58200.000000,59000.000000,56173.757813,16017098
2020-09-14,60200.000000,60800.000000,59900.000000,60400.000000,57506.691406,20648281
2020-09-15,60900.000000,61000.000000,60500.000000,61000.000000,58077.949219,17877075
2020-09-16,61100.000000,61300.000000,60600.000000,61000.000000,58077.949219,17041444
2020-09-17,60700.000000,60800.000000,59300.000000,59500.000000,56649.804688,25108356
